kd_obat,product_type,revenue,total_qty,avg_margin_pct,transaction_count
R-0124,Branded,5765706.0,1360.0,37.175159884312954,501
AI-1325,Generic,336258282.12,69.0,34.72463835226403,69
AI-0607,Generic,142958.825,975.0,32.73659043659042,65
R-1627,Branded,896704.01,351.0,33.147907996592814,53
AI-0100,Generic,1597488.75,30.0,37.5,1
R-5315,Branded,20325.0,67.5,34.746696035242294,8
R-2253,Branded,206349.5,897.0,35.42580074038308,109
AI-0426,Generic,7617633.0,60.0,33.52617957390114,46
R-3000,Branded,7688327.0,525.0,35.72230550542695,47
R-3001,Branded,151249.25,40.0,37.497727272727275,4
AI-0933,Generic,4680523.0,3447.0,31.536808170128268,118
R-2242,Branded,160300.0,14.0,37.504503422601175,2
AI-0147,Generic,3058782.5300000003,1488.0,25.809753879930586,147
R-1301,Branded,61028.0,3.0,33.833333333333336,3
R-4914,Branded,103125.0,15.0,37.5,2
AI-0689,Generic,1109286.56,592.0,35.28556908936159,36
R-5289,Branded,391050.0,79.0,10.0,79
R-5267,Branded,58080.0,2.0,21.0,2
R-4331,Branded,99000.0,4.0,37.5,4
R-3090,Branded,95624.5,5.0,37.50220005866823,5
AI-1168,Generic,9312192.415,57872.0,32.03981746390806,4653
R-5296,Branded,4000150.0,1.0,37.5,1
AI-1381,Generic,2507377.07,8279.0,34.526279465894014,904
R-3886,Branded,562786.975,118.0,36.56791403286978,113
R-2087,Branded,459318.6,641.0,34.72696945065366,12
R-0507,Branded,35413.75,7.0,29.256329113924053,2
R-1561,Branded,22999428.0,1797.0,32.30100545820487,721
R-0055,Branded,22000.0,1.0,37.5,1
AI-1350,Generic,477912.625,902.0,33.83069620253165,60
R-0065,Branded,2120437.18456,1818.0,34.39599849308481,126
R-2398,Branded,72608.0,16.0,37.515151515151516,3
R-0785,Branded,70700.0,20.0,37.49513807856865,1
AI-1318,Generic,2507610.24,696.0,34.14753573784128,32
R-1707,Branded,10457.600515999999,14.0,33.83333333333332,3
R-0003,Branded,1549719.3,3.0,21.279112900019875,3
R-2153,Branded,3396603.5,178.0,37.49849882307729,6
R-5165,Branded,2279068.0,32.0,27.187782805429865,16
AI-0679,Generic,5341390.57,140.0,33.80208096200972,53
AI-0403,Generic,4642494.85,61.0,34.92271160125123,39
R-2714,Branded,76077.0,4.0,31.997937435544863,4
R-1292,Branded,1513899.35,666.0,33.35343129238442,44
R-0342,Branded,5621308.05,117.0,33.58929563379906,117
R-1482,Branded,1419.737814,15.0,35.666666666666664,3
R-2008,Branded,1783674.875,375.0,36.16385979429163,33
AI-0690,Generic,1801380.0,420.0,37.5120230843219,14
AI-0631,Generic,703800.0,6.0,55.22443362269743,2
R-4934,Branded,4174500.0,48.0,16.657894736842106,19
R-5274,Branded,1991310.75,27.0,37.5,11
AI-0087,Generic,1517695.0,416.0,27.467411545623836,81
R-2734,Branded,226875.0,5.0,37.5,5
R-4111,Branded,27480192.4,705.0,36.97989446907012,698
R-2926,Branded,14643.0,3.0,37.49295774647887,3
R-0075,Branded,69616.00026249999,30.0,35.913393378367104,7
R-3390,Branded,5416334.0,145.0,34.2,145
R-2622,Branded,10175.0,1.0,37.5,1
R-4687,Branded,48585.875,8.0,37.49575503735567,2
R-4936,Branded,2851605.0,76.0,28.81619605039763,76
AI-0686,Generic,387505.0,5.0,37.50088709105103,2
AI-0039,Generic,4867588.0,383.0,35.927222975367954,175
R-0111,Branded,162885.5625,375.5,24.7,5
R-3384,Branded,232052.0,83.0,24.929715593331156,7
R-0023,Branded,865883.945,251.0,30.102370116068577,188
R-1504,Branded,8861850.0,448.0,30.15155561190404,15
AI-0212,Generic,7646633.069000006,1018.0,31.073251014584912,992
R-0229,Branded,156456.0,2.0,37.500219710684966,2
R-4765,Branded,68046.0,11.0,34.7575559904327,2
R-0370,Branded,22500.5,1.0,37.5,1
R-4759,Branded,226371.62499999997,4573.75,32.36093103841009,742
AI-1406,Generic,17585650.0,81.0,29.0,21
R-1288,Branded,128779.20000000001,30.0,32.000000000000014,1
R-2414,Branded,1114754.55,220.0,32.647440794499616,17
AI-1267,Generic,3798631.5,6294.0,29.579786028949044,245
R-1224,Branded,1306262.21,172.0,33.65280507845673,95
AI-1296,Generic,2143684.8899999997,121.0,34.318926335648754,92
R-2343,Branded,288453.81,28.0,26.502973615085565,25
R-4332,Branded,224064.875,14.0,37.76631417404823,11
R-0733,Branded,32436140.0,389.0,36.69201030927835,388
R-1067,Branded,132825.0,14.0,36.125,4
R-2021,Branded,18749.99995,1.0,37.50000000000001,1
AI-0541,Generic,7646066.5,70.0,35.70044978559442,40
AI-0536,Generic,9302557.75,3119.0,32.57792182805589,250
R-2452,Branded,12023.0,77.0,36.98830409356725,9
R-4996,Branded,136125.0,2.0,23.75,2
R-3405,Branded,48840.0,3.0,35.666666666666664,3
AI-0417,Generic,5886958.390000002,8517.0,31.0813505961629,965
R-2211,Branded,5650604.0,16.0,35.4374954459516,16
R-1872,Branded,292827.815,2653.5,34.382055498334566,99
R-2057,Branded,193982.46,123.05,9.025021570319241,122
R-3338,Branded,3016185.125,173.0,34.86191816800201,25
R-4678,Branded,30565.0,1.0,32.001727488663356,1
AI-0746,Generic,838524.095,26.0,29.019189225784018,26
R-2207,Branded,5034.0,3.0,20.980533525594808,1
R-0192,Branded,928868.4,274.0,31.00034247393164,22
R-3267,Branded,1250660.0,3225.0,37.3974021834409,178
R-5008,Branded,760000.0,19.0,37.49957031384276,19
R-0154,Branded,44329396.75,280.0,37.120036333978675,275
R-4552,Branded,838358.8999999999,671.0,35.92209888604621,402
R-0264,Branded,189050.475,4.0,32.00005236698785,4
AI-0107,Generic,2300044.0,446.0,36.88022753367295,114
AI-1463,Generic,456305.4,15.0,34.93173652694611,15
AI-1115,Generic,2531039.25,770.0,35.362504756861476,57
AI-0740,Generic,2255289.0500000003,3140.0,36.78197033255465,434
R-4532,Branded,635214.0,84.0,37.4922077922078,7
AI-1239,Generic,224201.91000000003,31.0,30.8245582401731,14
R-0286,Branded,22280.0,10.0,21.02118413905486,1
R-1175,Branded,10960.0,14.0,34.72222222222222,2
AI-1058,Generic,1167114.3599999999,193.0,32.555778721747046,191
R-0753,Branded,106721922.4,165.0,28.378036530604515,41
R-1531,Branded,11869638.0,623.0,35.650442477876105,113
AI-0486,Generic,228610.5,3709.0,36.45036429872498,122
R-5275,Branded,4350753.0,12.0,37.5,12
R-0139,Branded,410741.9,376.0,25.305080756230293,19
AI-0296,Generic,1061777.4,42.0,34.00026959991373,10
R-5014,Branded,149930.0,62.0,18.25,8
R-3315,Branded,8212708.5,1082.0,35.07493857493858,148
R-0073,Branded,11105351.214999981,3121.0,33.094602638725185,2957
R-5316,Branded,131698.0,396.0,34.35555555555556,81
R-1368,Branded,598989.0,3.0,33.83315011931254,3
AI-0247,Generic,90145.0,9.0,31.998375904326,3
R-3435,Branded,2191122.0158928,286.0,36.10281202256348,220
R-1416,Branded,14557775.600000001,147.0,33.26614854443802,56
R-0829,Branded,5611321.375,43.0,37.5,27
R-3763,Branded,110959.0,11.0,34.49575757575758,11
R-1640,Branded,3380088.0,66.0,33.500481063173304,11
AI-0425,Generic,5760504.0,15.0,29.558575752893237,15
R-4524,Branded,36509.0,11.0,37.48964374482187,2
R-1629,Branded,1555975.875,1309.0,33.52903941400767,183
R-2716,Branded,22547.58,86.0,32.69498910675381,9
R-2186,Branded,75600.0,3.0,31.99937143156461,3
R-1779,Branded,95533.6,657.0,31.911111111111115,5
AI-0581,Generic,1968459.875,268.0,35.90359247747221,110
R-2571,Branded,62700.0,1.0,32.0,1
AI-0165,Generic,700495766.09,142.0,36.510640560283534,141
AI-0970,Generic,12027718.0,3666.0,32.636311475409826,244
R-0495,Branded,2868336.7,2345.5,29.889611863695794,395
AI-1455,Generic,9286866.175,942.0,35.32310231686764,51
R-3434,Branded,5260005.675,692.0,36.28232923706597,573
R-4813,Branded,527503.2,3.0,17.333231007989905,3
R-2731,Branded,423666.0,32.0,36.71655806743671,7
R-1167,Branded,59224.0,4.0,37.5,2
R-4366,Branded,95535.0,2.0,37.5,2
AI-1338,Generic,112678818.91500004,552.0,33.16312916620841,550
R-1306,Branded,64580.0,5.0,31.99795605518651,1
R-0089,Branded,79283.4,501.8,36.97284267480578,80
AI-1559,Generic,412500.0,1.0,37.5,1
R-1050,Branded,2899581.3,8760.0,31.724385648574238,141
R-1483,Branded,23992.500262499998,21.0,37.49999999999999,5
R-1173,Branded,3670566.0,24.0,34.20004210526316,5
AI-0194,Generic,914929.0,2997.0,35.952380952380956,75
AI-0744,Generic,24639939.585,3931.0,34.9951460661546,1560
AI-1112,Generic,150855.15,307.0,32.501444304026,29
R-1820,Branded,1409398.375,1860.0,36.9564322469983,53
R-2872,Branded,3118500.0,135.0,28.333333333333332,3
R-2019,Branded,497196.0,39.0,37.08188585607941,13
R-1554,Branded,156464.25,28.0,33.10050492906949,5
R-2328,Branded,5740750.944999999,86.0,34.68581668342741,86
R-2229,Branded,924000.5,21.0,33.4666938484277,21
AI-0075,Generic,21232714.354999997,58060.75,36.58047553343149,4993
R-5042,Branded,264812.0,48.0,23.26666666666667,21
R-5258,Branded,8654983.0,563.0,36.22806656514523,26
R-4424,Branded,425869.55,181.0,28.5,2
R-4977,Branded,60470471.25,1104.0,37.49960972479497,37
R-3118,Branded,38999.4,1.0,32.00000000000001,1
R-0618,Branded,4185666.8200000003,485.0,35.946911570952494,187
AI-0499,Generic,1264338.125,20.0,33.54115629120407,11
R-3393,Branded,1384146.2,247.0,26.08382652221463,13
R-5164,Branded,18360920.0,2364.0,34.21937696743638,91
R-2839,Branded,3315755.0,27.0,34.64854729416133,27
R-2774,Branded,52668.0,1.0,32.0,1
R-4912,Branded,883937.125,42.0,-8.333190741818099,3
R-0835,Branded,6024979.040000001,5645.0,30.629486862808808,746
R-1155,Branded,40024.0,327.0,36.69137466307278,53
R-0330,Branded,303600.0,10.0,32.0,1
R-1055,Branded,654026.0,950.0,30.20561941251597,6
R-1297,Branded,56203356.815,4988.0,34.7519383517299,606
AI-0024,Generic,480904.005,1861.5,35.319975186104244,130
R-2590,Branded,284476.0,10.0,35.43671572789886,8
AI-0028,Generic,173289.0,72.0,31.666666666666668,6
AI-0881,Generic,2554713.980000001,726.5,30.644156320393954,595
AI-1201,Generic,30577661.0,4989.0,36.070428696412954,127
R-4200,Branded,539245.75,577.0,36.35283176899142,526
R-5176,Branded,15972000.0,4.0,21.0,2
AI-0692,Generic,2217051.2199999997,982.0,36.05694104862809,45
AI-1059,Generic,4315740.0,285.0,26.21590909090909,242
R-3251,Branded,874744.75,41.0,32.667820415560335,12
R-4684,Branded,1807493.0499999998,1780.75,32.41780851530341,437
AI-0977,Generic,571275.0,63.0,35.02160953800298,20
R-0107,Branded,3202104.1499999994,678.0,35.19840970350416,636
R-5231,Branded,45600.0,1.0,9.9987938728742,1
R-4568,Branded,72200.0,20.0,34.751773049645394,2
R-0820,Branded,192720.0,1026.0,36.934306569343065,35
AI-0845,Generic,34225247.79,254.0,36.09209203597627,105
R-4805,Branded,133650.0,45.0,34.754152922061934,2
AI-0880,Generic,64423951.76500001,8580.0,29.581833938686213,379
R-4888,Branded,84150.0,1.0,37.5,1
R-2758,Branded,14239.5,17.0,34.80272952853598,13
R-5104,Branded,66000.0,100.0,32.0,1
AI-0694,Generic,11660227.344999999,4614.0,44.4874789676235,144
R-1985,Branded,2147750.0,127.0,33.55128205128205,78
AI-0938,Generic,246585.625,16.0,21.09375,16
R-2013,Branded,306504.0,30.0,31.99999999999999,1
R-4619,Branded,1370250.25,213.0,30.050867526944074,209
R-2063,Branded,202860.0,105.0,31.967213114754102,2
R-0009,Branded,2654890.77,116.0,35.628724719178514,39
R-2678,Branded,107500.0,2.0,37.49968023330179,2
R-3061,Branded,105189.5,5.0,37.502450980392155,4
AI-0297,Generic,35003051.989999995,7623.0,29.479843881044946,363
R-4734,Branded,45980.0,1.0,21.0,1
R-1449,Branded,1618144.0,2951.0,37.07692307692308,286
R-3078,Branded,82500.0,1.0,37.5,1
R-0613,Branded,741103.47,69.0,36.715879372343906,28
R-0593,Branded,85477.0,3.0,32.00106638229805,4
R-1123,Branded,20601330.0,331.0,35.2969696969697,330
R-4789,Branded,439438.24,64.0,22.780649181388355,37
R-2779,Branded,476733.375,9.0,35.05531941492687,9
R-0059,Branded,192060.0,60.0,32.0,2
R-2141,Branded,21140768.0,24.0,32.0,19
R-5290,Branded,36000.0,2.0,32.00352009386917,1
AI-0860,Generic,26968142.827499997,89486.75,38.200011083693056,8977
R-2529,Branded,880000.0,16.0,37.5,13
AI-1427,Generic,2241746.0,17.0,33.94121726360447,17
R-5055,Branded,11407275.0,51.0,31.3125,8
R-0177,Branded,1790935.0899999999,939.0,33.24615993336394,124
R-0869,Branded,850800.0,160.0,30.625,20
AI-1290,Generic,3903039.875,29372.0,35.497949138638226,2438
R-1774,Branded,14671.0,1.0,20.997938144329897,1
R-0863,Branded,1764693.5,52.0,29.746797184056806,51
R-4015,Branded,134082.0,211.0,25.708894878706197,7
R-0545,Branded,453245.70999999996,910.0,45.69128314059304,56
R-4635,Branded,1832016.375,11.0,37.500034399724804,3
AI-0066,Generic,2219545.54,16023.85,34.53576416916682,2148
AI-0216,Generic,38562747.84,35051.5,34.510570550094414,3331
R-1816,Branded,2176.99998,3.0,23.7192118226601,2
AI-0119,Generic,61767.615,17.0,33.23759140619944,17
AI-0043,Generic,8252914.465000002,70894.0,35.34054836880596,4021
R-2464,Branded,230201.0,4199.0,77.83456856101454,667
R-0255,Branded,2787124.0,151.0,35.35670632278555,149
R-0423,Branded,901341.82,2559.0,36.62337329174372,445
R-5261,Branded,170821.8,407.0,32.55827436269076,37
AI-0978,Generic,19133493.980000004,2531.0,36.05581759388943,743
R-5269,Branded,1425638.0,283.0,36.34364064843247,19
R-1190,Branded,195431.0,35.5,36.39425458147598,5
R-0118,Branded,6339253.74,205.0,33.18042058583266,205
R-4342,Branded,1633185.4649999999,244.0,36.88642101668198,235
R-4637,Branded,5128.2,3.0,35.666666666666664,3
AI-1553,Generic,13294487.625,390.0,29.451365203779524,145
R-1809,Branded,737807.8,45.0,36.96969696969697,33
R-3444,Branded,198000.0,3.0,37.5,3
R-1598,Branded,121584.0,148.0,34.78657855250136,6
R-1886,Branded,7913.453205,59.0,35.37627551020409,8
AI-0226,Generic,35131568.93000001,1695.0,32.82386882434807,1605
R-1047,Branded,47297.0,1.0,32.00022327035249,1
R-2424,Branded,7321102.0,31.0,35.55895475870214,17
R-3391,Branded,1258252.0,40.0,33.497743902439026,40
R-5102,Branded,1791.0,9.0,37.24137931034483,1
R-1539,Branded,1917477.185,33.0,35.00058941820955,33
AI-0658,Generic,213321.135,53.0,30.34531426957725,53
AI-0196,Generic,7343746.5,23.0,29.106739836166785,11
R-1205,Branded,340021.87500000006,4407.0,36.182652210175114,327
R-0304,Branded,11096.0,76.0,37.735849056603776,2
R-0615,Branded,352074.0,66.0,35.629629629629626,27
AI-0518,Generic,29409972.5,531.0,35.35580750238447,517
R-0098,Branded,173937.0,371.5,36.67411684148074,45
R-3811,Branded,110412.0,2.0,31.999139229610503,1
R-3761,Branded,21864.0,3.0,37.50943396226415,2
R-3152,Branded,400590.0,100.0,31.99736842105263,5
AI-0106,Generic,10463944.185000006,73366.0,34.874179979932954,7404
R-1563,Branded,1397092.06,165.0,31.374336957092584,72
R-1911,Branded,1585007.32,113.0,36.45403888737222,54
R-1473,Branded,335916.075,583.0,36.775818148735425,73
R-5043,Branded,4120050.0,19.0,29.25,2
AI-1057,Generic,5713511.830000002,52927.25,32.99576332294531,6671
R-0336,Branded,44852.00036,35.0,33.832460732984295,6
R-4889,Branded,221450.0,94.0,10.808510638297872,94
R-1983,Branded,81429.93,436.0,34.27673393462869,37
R-3363,Branded,74002.0,2.0,26.499145299145297,2
AI-1577,Generic,3068184.0,363.0,24.25243770314193,13
AI-0625,Generic,191951.32,6011.0,33.72739018087855,387
R-4995,Branded,171435.0,15.0,37.5,1
R-3828,Branded,28875.0,7.0,37.5,4
AI-1278,Generic,5280.0,10.0,20.0,1
R-2466,Branded,524865.53,296.0,35.628002801447415,65
R-1815,Branded,171058.88999999998,2644.0,33.34178347114883,85
R-2512,Branded,433880.0,10.0,33.649581074420894,10
AI-1561,Generic,3687325.92,1550.0,25.504031205713574,99
R-1560,Branded,70306.25,7.0,25.0,5
R-4831,Branded,235109.00000000003,290.0,10.011933671232807,162
R-0085,Branded,570963.7,104.0,31.94015587999478,59
R-1759,Branded,107294.0,1.0,37.5,1
R-0445,Branded,130625.0,20.0,37.5,1
AI-1247,Generic,12297569.65,21720.0,36.60708566856726,1975
R-1964,Branded,349673.25,114.0,34.96296393297593,61
AI-0943,Generic,47809643.89500008,168024.0,34.08058289018845,19722
R-1287,Branded,5082.0,3.0,21.0,1
R-3146,Branded,185680.0,40.0,21.011470281543275,1
R-5206,Branded,2490176.0,3326.0,36.8157483542099,143
AI-0154,Generic,17498.25,14.0,37.5,2
R-0695,Branded,8946657.805,628.0,35.45008912655972,561
R-5028,Branded,5862450.0,2.0,29.25,2
R-2232,Branded,512950.0,5.0,30.9001360838857,5
R-2573,Branded,22721877.5,11.0,37.50001589825119,8
R-2822,Branded,154681.5,15.0,37.494814814814816,9
R-5081,Branded,5286990.0,2236.0,33.67026847421586,180
AI-1347,Generic,8868087.45,4351.0,34.11560433945941,385
R-4639,Branded,414448.65,58.0,33.375,8
R-1741,Branded,9221628.28,13208.0,37.28713550094558,1066
R-2786,Branded,11288238.0,7545.0,36.96508862385637,211
R-5230,Branded,128375.0,19.75,10.001692333728212,19
AI-1416,Generic,23312189.835,2595.0,34.63704185016069,1452
AI-0189,Generic,174184929.07500002,25276.0,35.662105428786234,1310
R-1065,Branded,2475000.0,1.0,37.5,1
R-0126,Branded,1113093.72,152.0,29.99357050355034,10
R-0455,Branded,42819602.065,4033.0,35.92587800339708,622
R-2993,Branded,4096764.15,574.0,31.9976913543612,43
R-0636,Branded,6718.118850000001,158.7,34.4140625,32
R-0092,Branded,2789961.5300000003,110.0,34.99207831781617,110
R-0918,Branded,29134.5,9.0,34.76005867560771,2
AI-0201,Generic,3964052.45,2401.0,33.65643090949512,194
R-3318,Branded,86625.0,5.0,37.5,4
AI-0667,Generic,56878.25,13.0,37.5,7
AI-1212,Generic,176997.67500000002,185.0,23.38888888888889,18
R-0715,Branded,449096.6,19.0,33.448155676907845,19
R-4387,Branded,792528.0,37.0,35.513888888888886,36
R-1623,Branded,505024.8256325,1189.0,34.75731590071271,195
R-2726,Branded,621712.8,10.0,32.55036576368512,10
AI-0965,Generic,2004617.075,3530.0,30.56159580406568,148
R-0549,Branded,549120.0,8.0,32.0,8
R-5313,Branded,541301.75,1.0,37.5,1
R-3104,Branded,72879.84,12.0,31.999999999999996,1
AI-0700,Generic,273071.5,3970.0,36.80379746835443,158
AI-1558,Generic,1392312.625,1.0,37.5,1
AI-1376,Generic,458147.375,9346.0,35.668831168831126,231
AI-0629,Generic,13450272.0,8.0,37.5,1
AI-0029,Generic,173109.0,19.0,20.99601593625498,2
AI-0178,Generic,1271782.02,124.0,36.80354585932728,89
R-0053,Branded,831195.0,55.0,36.68685488186919,27
R-2698,Branded,2415000.0,276.0,37.49214330609679,6
R-0066,Branded,197636.505,56.0,35.142857142857146,7
AI-0418,Generic,4020290.0,211.0,22.46777940043467,199
R-0213,Branded,2009230.68,1191.0,34.99965956765092,162
R-0516,Branded,764915.6,135.0,33.834600760456276,6
R-2768,Branded,142989.775,228.0,35.37037970430108,128
R-5300,Branded,1258560.0,120.0,37.49344520188778,2
AI-1327,Generic,1938098.2,889.0,34.26585350369953,44
AI-0671,Generic,6974519.0,2085.0,34.942132132132286,666
AI-0597,Generic,405196.25,161.0,36.42826782678269,22
R-3063,Branded,12375.0,1.0,37.5,1
R-5318,Branded,67698.0,43.5,36.58670774647887,24
R-4329,Branded,341517.9,18.0,36.89189514189514,18
R-5046,Branded,417477.0,2.0,29.24984520123839,2
R-5279,Branded,5488189.0,805.0,37.338116698292225,34
R-1847,Branded,2961622.5,116.0,22.768977831975956,7
R-4965,Branded,182400.0,2.0,31.999826316018005,2
R-1229,Branded,2575450.0,55.0,26.557739557739556,55
AI-1199,Generic,198001.98,1914.35,33.21121262285394,343
R-0248,Branded,460140.0,10.0,37.49887942626625,2
R-0305,Branded,478140.0,30.0,37.50323526874299,1
R-2769,Branded,148590.0,28.0,68.72222222222223,27
R-2431,Branded,38536520.8,227.0,33.50470949266169,227
R-0237,Branded,452070.0,35.0,26.50379598987736,4
R-0093,Branded,387465.35,215.0,34.53331370123232,24
R-2434,Branded,8378975.0,708.0,36.672237846194335,563
R-4858,Branded,1304732.4,249.0,13.895743919885547,24
AI-0144,Generic,103129.0,51.0,18.804728406164916,47
R-1900,Branded,26625.00005,4.0,37.5,3
R-5304,Branded,599928.0,11.0,35.14321206743567,7
R-2860,Branded,7562.0,1.0,37.49090909090909,1
R-0910,Branded,1377354.9849999999,27.0,33.42560937005381,27
R-2083,Branded,805935.6950000001,381.0,31.704113762102057,54
R-0242,Branded,394737.93500000006,61.0,31.65778417192911,16
R-3693,Branded,49500.0,1.0,37.5,1
R-2262,Branded,8552734.75,40.0,36.40017381316137,40
R-5056,Branded,3312375.0,9.0,34.75,6
R-1571,Branded,65234.0,53.0,32.92029774872912,12
AI-1211,Generic,65321.26,79.0,29.82447112635792,11
R-4907,Branded,39093.66,12.0,22.416380140283312,11
R-1079,Branded,75319.5,10.0,36.94454545454546,10
R-5118,Branded,743600.0,6.0,18.8,5
R-2149,Branded,416997.9,50.0,33.833333333333336,6
R-5133,Branded,13310000.0,4.0,21.0,4
R-1233,Branded,1488838.935,14.0,36.71419415210676,7
AI-0222,Generic,68669379.89999998,14555.0,35.4510562585709,4946
R-3841,Branded,427662.5,914.0,30.283816425120772,18
R-3725,Branded,105682.0,5.0,37.499451659451665,5
R-1479,Branded,217507.0,7.0,34.75008799718409,2
R-0418,Branded,12333100.0,18.0,29.27777777777778,18
R-4497,Branded,102508.23999999999,161.0,36.00033132435076,67
AI-0394,Generic,19160707.875,49.0,33.71907644638502,49
AI-0294,Generic,124150.0,8.0,31.314520223388055,8
R-3407,Branded,290520.0,18.0,34.125,16
R-5027,Branded,15125000.0,2.0,37.5,2
R-2672,Branded,148556.0,3.0,35.667579908675805,3
R-4660,Branded,1134168.75,2.0,37.5,1
R-1109,Branded,36480400.0,123.0,34.8130081300813,123
R-2658,Branded,2553353.0,19.0,37.499763732795024,9
R-5078,Branded,6875000.0,1.0,37.5,1
R-2243,Branded,392684.0,9.0,30.166831519947248,9
AI-0870,Generic,257284.75,99.0,37.504409171075835,15
AI-1397,Generic,33537447.875,7015.0,32.61928222594725,379
R-5168,Branded,84480.0,2.0,32.0,1
R-4978,Branded,22000.0,2.0,37.5,2
AI-1410,Generic,17380566.375,12895.0,34.37080492558779,718
R-4890,Branded,79350.92,1.0,26.499999999999996,1
R-1710,Branded,6875915.0,453.0,37.17448956769019,17
R-3321,Branded,194425.44,4.0,32.0,4
R-3138,Branded,605412.0,30.0,20.28610597842285,1
R-1143,Branded,1525040.0,140.0,36.736111111111114,36
R-2924,Branded,2598750.0,6.0,37.5,6
R-0986,Branded,173010.0,75.0,36.11436950146628,4
AI-1341,Generic,8083607.55,81.0,37.0000229167526,45
AI-0367,Generic,518400.0,360.0,58.41584158415842,5
AI-0533,Generic,14727728.949999996,1471.0,33.72203602021433,1411
R-2272,Branded,909259.735,1197.0,35.90865499880126,97
R-1399,Branded,217800.0,20.0,32.0,1
AI-1522,Generic,1066010.0,175.0,20.704716607213633,10
R-2002,Branded,4056364.25,635.0,31.484886011820997,34
R-4157,Branded,1096562.0,3.0,37.49993265993266,3
R-5137,Branded,532400.0,2.0,21.0,2
AI-0209,Generic,241657.02500000002,211.0,31.823982398239828,23
R-1606,Branded,22200.75,28.0,35.666666666666664,3
AI-1144,Generic,11430305.475,146.0,31.308612983805507,54
R-0134,Branded,844476.47,82.0,34.999775965677145,11
R-3523,Branded,77938.0,9.0,33.22735042735043,9
R-4677,Branded,1352175.0,18.0,36.583333333333336,18
R-4999,Branded,388080.0,3.0,10.0,2
AI-1000,Generic,92973877.8,7488.0,29.64047089855435,107
AI-0110,Generic,162270373.46,14163.0,32.42320376778547,4610
R-0701,Branded,101227576.0,44.0,23.809906160750714,43
AI-1301,Generic,70659.5,16.0,37.493328589219004,7
R-1944,Branded,189798.0,651.0,34.27230046948356,15
R-0394,Branded,50400.24,1.0,31.999999999999996,1
R-0879,Branded,1266011.5,1484.0,32.75761725021659,73
R-4905,Branded,56575.0,73.0,37.4113475177305,8
R-4843,Branded,316899.0,76.0,14.868421052631579,76
R-3128,Branded,851026.0,12.0,36.88845947396672,9
AI-0281,Generic,86600.0,149.0,33.88089662094347,14
R-0216,Branded,10545147.0,81.0,35.85039785729147,80
R-3225,Branded,68618.0,1.0,37.5,1
R-3625,Branded,54416.8,13.0,26.764105787361604,13
R-0027,Branded,11567816.0,436.0,28.72,50
AI-0397,Generic,245508.975,843.0,30.82047705440633,69
