kd_obat,product_type,price_tier,total_revenue,total_gross_margin,avg_margin_pct,transaction_lines,unique_transactions
R-0828,Branded,High,96954965.05499998,14064677.985000012,36.21340815681721,1017,1017
R-0617,Branded,High,96645095.25,10473506.25,34.84820697585459,3015,3010
R-1228,Branded,Mid,94275259.04000002,280213.83499999985,29.39775708297735,150,150
AI-1000,Generic,High,92973877.8,322721.96000000025,29.640470898554305,107,104
R-0752,Branded,Premium,90318878.64,4995674.58,27.661998963216536,71,70
AI-0274,Generic,Mid,89961982.89,1658750.8399999975,33.65630907807566,1352,1352
AI-0771,Generic,Mid,87978821.60499997,3356752.414999996,34.41886206829493,19521,19483
AI-0608,Generic,Mid,87487048.565,1207190.6550000028,33.41829264107888,494,494
R-3244,Branded,Premium,83922832.5,8472317.0,36.89717080964378,73,73
R-2258,Branded,Premium,81435185.97,12578721.66,36.53256601550695,199,199
R-1311,Branded,High,77518206.575,3153179.93,35.838331856577256,810,810
R-0652,Branded,High,71573680.04092008,1064466.8207999987,57.99660676857027,331,331
AI-1527,Generic,Mid,69016326.09,849024.8000000002,30.98241788038464,770,767
AI-0222,Generic,Mid,68669379.89999993,6087314.550000031,35.45105625857131,4946,4941
AI-0999,Generic,Mid,68361014.67999999,423442.519999999,23.674721637495587,215,212
R-1027,Branded,Premium,68003192.25,6970075.625,31.94648277395129,103,103
AI-0099,Generic,Premium,66676068.599999994,16003775.200000001,34.45151024650607,175,175
R-0358,Branded,Premium,64453604.625,9127470.25,35.37103274314814,155,155
AI-0880,Generic,Mid,64423951.765,647557.47,29.581833938686305,379,377
R-1001,Branded,Premium,64363117.0,8823827.0,36.30585794482207,152,152
AI-1193,Generic,Premium,62945143.0,3889998.0,33.87643886339853,123,123
R-5154,Branded,Mid,62194085.0,242503.0,10.917573872472785,643,643
AI-0336,Generic,Mid,61263995.35,646294.145,33.16187468467646,566,564
AI-1174,Generic,Mid,60858911.375000015,1153998.3899999964,35.94349880775474,2927,2922
R-4977,Branded,High,60470471.25,552490.375,37.49960972479497,37,37
AI-1289,Generic,High,59329963.875,183958.27500000002,31.232316126285717,63,63
R-2033,Branded,Premium,58960000.0,6398000.0,35.544444444444444,45,45
R-1709,Branded,High,56739406.0,526233.0,37.13034309923489,148,148
AI-1572,Generic,Mid,56692682.16,565253.88,34.83144117426627,282,281
R-1297,Branded,High,56203356.815,1761741.0899999996,34.75193835173001,606,606
AI-0649,Generic,Premium,55836000.0,14136000.0,36.8125,32,32
AI-0292,Generic,Mid,54058757.52,701607.6050000023,33.22904548273162,1522,1518
AI-0337,Generic,Mid,53446200.69,561680.4899999996,31.867996440921406,345,343
R-2125,Branded,Mid,51823719.440000005,840355.07,25.320235167120703,454,454
AI-0577,Generic,Mid,51708224.07,316503.1500000007,36.15639477815939,1044,1040
AI-0820,Generic,Premium,51426333.75,6473248.125,37.5,6,6
R-1672,Branded,Mid,50110218.12,509719.8,36.50407187402932,286,286
R-4396,Branded,Premium,47890723.0,12530723.0,35.43756504524886,64,64
AI-0943,Generic,Low,47809643.89499977,1456941.4049999737,34.08058289019742,19722,19507
R-5050,Branded,High,47303810.0,368215.0,30.281282091593013,32,32
AI-0957,Generic,Mid,47033356.51,281227.05500000005,32.27229163094667,649,649
AI-1403,Generic,Mid,46072777.64,1156420.1199999948,33.8708559886871,939,939
AI-1379,Generic,Mid,45780625.699999996,500816.4499999995,33.88396004422057,813,810
R-1869,Branded,High,45549130.0,1611105.0,35.53131991051454,447,446
R-0464,Branded,High,45471228.75,674089.98,36.589409537458124,187,187
AI-0143,Generic,High,45038135.73999998,11036553.740000006,35.59325076827971,448,447
R-0154,Branded,Premium,44329396.75,11795771.75,37.120036333978696,275,275
AI-1300,Generic,Premium,43830590.64,10806326.64,32.77272727272727,11,11
AI-0187,Generic,Mid,43758108.64,656438.7200000007,33.83537309493961,368,368
AI-0392,Generic,Mid,43701057.8,414407.3799999999,36.242542035822225,260,260
AI-0027,Generic,Mid,43090557.879999995,471812.2700000006,35.05328212923484,423,420
R-0455,Branded,High,42819602.065,1742714.815,35.925878003397315,622,622
AI-0611,Generic,Premium,41761104.75,5632020.75,34.81708169521945,123,123
R-1053,Branded,Premium,41293227.0,2200766.75,27.111095226131578,27,27
AI-0067,Generic,Mid,40733446.54,649267.5900000003,37.9471232976434,3783,3775
R-4986,Branded,Premium,40702750.0,4602750.0,12.75,20,20
R-1512,Branded,Mid,39789017.0,520943.80000000005,36.15255107705973,632,631
AI-1384,Generic,High,39788890.625,126174.375,37.500222978698105,5,5
R-1116,Branded,High,39784444.679999955,3978351.7600000035,35.3937219818125,772,769
AI-1028,Generic,Mid,39367012.447000004,929097.1320000002,35.92478206686226,5081,5077
AI-0981,Generic,Premium,38700600.599999994,3291652.200000001,31.936249170964714,95,95
AI-0216,Generic,Mid,38562747.84,936597.9450000017,34.51057055009564,3331,3330
R-2431,Branded,Premium,38536520.80000001,9672820.799999997,33.50470949266161,227,227
AI-0784,Generic,Premium,37895000.0,9895000.0,35.339285714285715,56,56
AI-0156,Generic,Mid,36895739.97,704472.4750000031,42.70883031262975,2960,2959
R-1109,Branded,Premium,36480400.0,9420400.0,34.8130081300813,123,123
R-0839,Branded,High,36154835.0,1184487.0,35.0612491373361,147,147
AI-1456,Generic,High,35781151.5,4878707.0,36.634525584339634,274,274
AI-0226,Generic,High,35131568.93000001,8262067.180000002,32.82386882434873,1605,1601
AI-0297,Generic,Mid,35003051.989999995,383525.3500000005,29.479843881044943,363,362
AI-0096,Generic,Premium,34928467.78,5297645.3549999995,32.71087133800932,177,177
AI-0845,Generic,Premium,34225247.79000001,3712376.47,36.092092035976265,105,105
R-4395,Branded,High,33754160.0,8665580.0,36.471296296296295,540,540
AI-1397,Generic,Mid,33537447.875000004,449956.8000000003,32.619282225947146,379,379
AI-0272,Generic,Mid,32710508.5,410087.0,37.32754445724471,271,271
R-0733,Branded,High,32436140.0,8684265.0,36.69201030927835,388,388
R-4245,Branded,Premium,32187503.75,8778384.75,37.499851019596186,103,103
AI-1554,Generic,Premium,32123960.2,2153917.6,24.835702873855166,106,106
AI-0052,Generic,Mid,32082267.72,331952.6749999955,26.383009435872307,1210,1208
AI-0822,Generic,Mid,31679118.05,126982.79999999999,33.519450601567776,161,161
AI-0500,Generic,Mid,30620959.34,409479.5350000025,29.982159167451044,1770,1764
AI-1201,Generic,Mid,30577661.0,206142.5,36.070428696412876,127,127
AI-0159,Generic,Premium,30412676.0,8294366.0,37.49999886826854,11,11
R-4982,Branded,Premium,30305000.0,1045000.0,12.5,22,22
R-1390,Branded,Mid,30303561.75,448216.75,35.6843341828606,292,292
R-4929,Branded,Mid,29725690.875,393394.57499999995,15.441523084584656,499,499
AI-0654,Generic,Mid,29463158.275,413941.0249999999,35.54785094335634,288,286
AI-0518,Generic,High,29409972.499999996,7477553.880000001,35.35580750238431,517,517
R-2694,Branded,High,29239113.45,2026509.225,36.30424167597048,649,649
AI-0811,Generic,Premium,29175154.674999997,3911853.4000000004,34.442613122225985,132,132
AI-0220,Generic,Mid,28775012.65000001,2196363.56,36.00518201712357,1821,1819
AI-1241,Generic,High,28688658.25,334621.875,35.167152706236486,85,85
R-0742,Branded,Mid,28652909.0,670454.0,36.13149033141407,1863,1862
AI-0068,Generic,Low,28641451.340000007,544355.2599999998,41.228087424678115,5470,5429
R-1091,Branded,Mid,28240650.355,1349412.395,35.353193675369575,801,798
AI-1260,Generic,Mid,27934793.715,2691631.135,34.95210372340719,1700,1699
AI-1046,Generic,High,27537149.625,2786753.875,37.4510504885382,180,180
AI-0544,Generic,Premium,27498460.0,7499580.0,37.5,11,11
R-4111,Branded,High,27480192.4,7346443.4,36.97989446907011,698,698
AI-0293,Generic,Mid,27243183.79,263365.48500000103,35.92974592149113,531,530
AI-1529,Generic,Mid,27200122.45,271924.575,25.597186658321085,232,232
AI-0860,Generic,Low,26968142.827499997,744417.8800000001,38.20001108369158,8977,8812
AI-1532,Generic,Mid,26670721.374999996,696839.7449999998,28.688359844527806,352,352
AI-0763,Generic,Mid,26353121.89500001,729096.4,34.37986550226639,1209,1209
R-4773,Branded,Premium,26283381.0,3758509.0,36.76667011351222,60,60
R-2826,Branded,High,26223703.0,4017334.5,36.58793969849246,199,199
AI-0371,Generic,High,25989468.70000001,2388623.17,35.235919114961476,939,939
AI-0405,Generic,Mid,25938881.08,180935.45999999985,34.35144152035657,385,384
AI-0135,Generic,Mid,25583439.174999997,2189426.895,35.00354413309599,980,980
AI-0851,Generic,Mid,25329475.375,49648.92500000002,25.128519080111182,30,30
R-0038,Branded,Premium,24868305.0,5870445.0,35.52777777777778,18,18
R-3366,Branded,Premium,24862080.5,2416933.75,35.383360030511064,60,60
AI-0853,Generic,Low,24733406.200000003,134538.7400000016,35.68826753342791,3588,3582
AI-0744,Generic,Mid,24639939.584999986,2545063.0650000004,34.995146066155144,1560,1560
R-1092,Branded,High,24532684.240000002,6226978.24,33.99535523158039,377,377
AI-1061,Generic,Premium,24480000.0,770914.0,9.183934331138543,6,6
AI-0565,Generic,Mid,23498515.325,343210.11000000004,37.11973934588793,2183,2183
AI-1416,Generic,Mid,23312189.834999986,3382617.9950000052,34.63704185016161,1452,1452
AI-1409,Generic,Low,23134584.646499977,577848.379999996,34.44498406788301,5270,5243
AI-0254,Generic,High,23066997.840000004,1928688.8699999992,34.247378957164635,410,410
AI-0051,Generic,Mid,23037996.435000002,326103.6350000002,32.02197920132412,592,590
R-1561,Branded,High,22999428.0,2252623.0,32.30100545820516,721,721
AI-0652,Generic,Mid,22927729.8,226118.16999999987,32.790960568272034,144,142
AI-0688,Generic,Mid,22792753.45,347760.7299999999,35.55821108674351,298,298
AI-1387,Generic,High,22730609.029999994,5673270.530000003,34.10066283505279,925,924
R-2573,Branded,Premium,22721877.5,4555314.5,37.50001589825119,8,8
R-0168,Branded,High,22598567.840000004,718647.8299999998,34.929604226548335,180,179
AI-0257,Generic,Premium,22485666.824999996,4507078.575000001,36.77279293209055,100,100
AI-0777,Generic,High,22393069.809999995,5689770.8100000005,34.92463408416386,1403,1399
AI-0214,Generic,Mid,22377509.455000013,811034.7050000003,32.813866124386706,4914,4834
AI-1036,Generic,Mid,22363659.29999994,2102093.0500000026,32.475192842630086,4041,4040
R-0175,Branded,Mid,22302720.0,450.55999999999995,31.999999999999996,1,1
AI-1461,Generic,High,22239705.0,186552.0,25.96917035927521,32,32
AI-1259,Generic,Mid,22118574.5,396312.0,35.23113551565671,173,172
AI-0347,Generic,Mid,22063918.9,294979.9,36.84976453734671,156,155
AI-0651,Generic,Mid,22029197.14,284167.1099999998,32.055564525565096,334,331
AI-1402,Generic,Mid,21892656.5,557946.95,34.81717373736738,289,289
AI-0836,Generic,Low,21627962.545,721111.27,38.66692019925741,5492,5485
AI-1281,Generic,High,21396104.75,199663.05,34.346782648196935,44,44
AI-0583,Generic,Mid,21373402.89,170565.86499999953,33.72831507628996,431,430
AI-1240,Generic,Mid,21265963.375,242482.625,34.702381539968385,98,98
AI-0075,Generic,Low,21232714.35500001,494394.21999999956,36.58047553342948,4993,4928
R-2141,Branded,Premium,21140768.0,4043504.0,32.0,19,19
AI-1415,Generic,High,20990672.950000003,5366301.55,35.09997094360542,220,220
R-0340,Branded,High,20847702.440000005,616634.2000000001,33.22430486108797,212,212
AI-1018,Generic,Mid,20784339.104999952,2380835.7899999977,34.736542538276005,2188,2186
AI-1138,Generic,Premium,20748079.9,5006025.0,35.16544280143624,145,145
R-1123,Branded,High,20601330.0,5358080.0,35.2969696969697,330,330
AI-0468,Generic,High,20464608.4,1511996.1,35.71492529121412,84,84
R-1295,Branded,High,20313869.75,5236498.07,34.84084008097152,416,416
R-3269,Branded,High,20264235.42,621625.38,35.21193776520511,101,101
AI-0163,Generic,Premium,19499998.375,2863636.125,37.5,7,7
AI-0545,Generic,Premium,19476186.75,1677374.75,37.4999944109099,12,12
AI-1530,Generic,Mid,19402502.0,176249.5,35.13253878212663,360,359
AI-0394,Generic,Premium,19160707.875,4828960.875,33.71907644638502,49,49
AI-0978,Generic,Mid,19133493.979999997,1488148.7800000003,36.0558175938895,743,743
AI-0097,Generic,Low,19093258.165000003,227960.63500000225,34.5498551080473,4614,4609
R-2295,Branded,High,18900129.855,4680047.855,32.913357394745134,289,289
R-1115,Branded,High,18790363.974999994,994850.5999999999,35.51744007540104,172,172
R-4492,Branded,Mid,18588954.025,794074.5249999998,34.71961641717219,562,562
AI-1462,Generic,High,18534687.5,85798.875,37.499666679999464,9,9
AI-1320,Generic,Premium,18462206.96,2394560.96,15.588240549729274,17,17
AI-1439,Generic,High,18457694.092000093,3515414.4119999725,34.089462448354546,953,945
R-0251,Branded,High,18394824.75,694814.0,36.330924765320596,71,71
R-5164,Branded,Mid,18360920.0,179747.0,34.21937696743644,91,91
AI-0357,Generic,High,18353292.289999947,4090429.1700000125,33.51773943044158,1243,1239
AI-0537,Generic,Mid,18307929.23,498634.7750000002,35.33110775973411,574,569
R-0231,Branded,High,18003342.055,1007995.8099999999,35.690096014831894,79,79
AI-1183,Generic,Mid,17947482.4,166413.47999999998,34.43693969367161,76,76
AI-0578,Generic,Low,17946820.265,184810.85500000042,35.88946730989006,1880,1878
AI-1280,Generic,Premium,17937742.125,364149.125,37.49996993415801,5,5
R-1729,Branded,High,17863560.0,474960.0,35.339285714285715,112,112
R-3942,Branded,High,17814417.6,4247264.3,36.956687230993076,495,494
R-1432,Branded,Mid,17799516.0,1209412.0,34.83318756073859,490,490
AI-0207,Generic,High,17744107.92,130168.48,21.578145628679934,12,11
AI-1406,Generic,Premium,17585650.0,1035300.0,29.0,21,21
AI-1134,Generic,High,17445733.0,1416413.8,27.724257610372742,66,66
AI-1410,Generic,Mid,17380566.375,243700.09999999963,34.370804925587976,718,716
AI-1186,Generic,Mid,17369517.61,114748.82999999999,33.73222337713247,113,113
AI-0279,Generic,Mid,17239481.97,217306.72000000032,26.484970070145515,188,186
AI-1235,Generic,Premium,17201555.150000006,4218309.549999999,32.76117199986955,132,132
R-4821,Branded,Premium,17160000.0,780000.0,10.0,3,3
R-1249,Branded,Premium,17050733.5,2770715.5,35.32282636738905,48,48
R-0481,Branded,Mid,16913525.67,754061.4250000006,36.04097825339719,2567,2564
AI-0479,Generic,High,16878356.0,1477737.5,34.12043163621484,87,87
R-1431,Branded,Mid,16712597.035,334310.95499999996,35.02434627018692,1641,1641
R-0001,Branded,Premium,16705638.0,1564416.0,34.85192982456139,27,27
AI-1284,Generic,Low,16458179.495000001,265265.8349999996,35.52495183373398,2638,2633
R-5176,Branded,Premium,15972000.0,1386000.0,21.0,2,1
AI-0255,Generic,Low,15925578.849999994,554421.2500000041,34.15879662460286,6338,6244
AI-0722,Generic,Mid,15857543.0,1535619.0,36.27560710573562,1114,1112
AI-0197,Generic,Premium,15735919.5,3543184.5,29.405046771886173,20,20
AI-0695,Generic,Mid,15693322.25,144470.57500000004,33.03588363649178,136,134
R-0169,Branded,Premium,15611376.169999998,1737559.4500000002,36.400051160912604,25,25
R-0078,Branded,Mid,15610419.5,276475.75,33.76803053435111,131,131
AI-1035,Generic,Mid,15536959.619999925,714699.8250000007,15.5041063172811,818,818
AI-0463,Generic,Mid,15259891.909999985,1901239.794999999,34.587623301449476,834,834
R-5027,Branded,Premium,15125000.0,4125000.0,37.5,2,2
AI-1017,Generic,Mid,14970637.829999996,487148.96999999986,34.96574858632673,1707,1707
AI-1524,Generic,Low,14902936.759999998,194380.02500000084,34.628578944510444,2067,2061
AI-0533,Generic,Mid,14727728.949999968,3545834.370000008,33.72203602021378,1411,1395
AI-0616,Generic,Mid,14603120.96,168253.64000000004,33.982724814941704,138,138
R-1416,Branded,Premium,14557775.6,1383711.5,33.26614854443801,56,56
AI-0858,Generic,High,14429788.019999998,1064181.12,34.36926721949564,131,131
R-2511,Branded,High,14395123.835,3658264.835,34.740319445565525,202,202
AI-0353,Generic,Mid,14225230.570000002,3267216.3699999973,32.53656440702285,1970,1965
R-2782,Branded,Premium,14127088.92,3629636.92,35.5314884497548,100,100
AI-0672,Generic,High,13839070.364999974,3083055.735000004,30.099129225002166,751,749
AI-0256,Generic,High,13741069.0,1119594.5,36.843068791690385,113,113
AI-1297,Generic,High,13697898.425,1390974.0550000002,36.28635544422336,83,83
AI-0792,Generic,High,13695378.25,2022651.0,36.62593186997921,111,111
AI-0629,Generic,Premium,13450272.0,458532.0,37.5,1,1
AI-1394,Generic,Mid,13329985.65,410355.39,33.93350109303371,447,445
R-5133,Branded,Premium,13310000.0,2310000.0,21.0,4,4
AI-1553,Generic,High,13294487.625,1138828.375,29.451365203779527,145,145
R-5054,Branded,Premium,13171092.0,2980692.0,29.25,6,6
R-2212,Branded,Premium,13079572.7,3431563.7,35.56758394400336,37,37
AI-0711,Generic,High,13013362.9,1342508.75,34.860543615775384,420,420
R-5129,Branded,Premium,12977250.0,2252250.0,21.0,3,3
AI-1483,Generic,Premium,12750001.0,3477273.0,37.5,4,4
R-2948,Branded,High,12721109.0,2824909.0,28.545283973094623,169,169
AI-0427,Generic,Premium,12694583.075,3357987.075,36.035726459088565,42,42
AI-1157,Generic,Mid,12606430.564999957,1583978.2749999955,35.37164391451955,3320,3320
R-0557,Branded,High,12492282.75,629366.375,33.59676130130467,93,93
R-2079,Branded,High,12356058.300000003,3079842.3000000045,33.6516298631516,957,956
R-0418,Branded,Premium,12333100.0,2793100.0,29.27777777777778,18,18
AI-1247,Generic,Mid,12297569.65,299875.80500000005,36.60708566856776,1975,1971
AI-0114,Generic,Low,12218062.190000001,193733.79999999897,33.521572038322546,3085,3082
AI-0132,Generic,High,12195824.98,121096.86499999998,34.06937418763118,46,46
AI-0344,Generic,High,12142595.370000001,1636661.97,35.27365342705265,84,84
R-2493,Branded,High,12101456.805,3192081.805,35.82219222222213,240,240
R-0700,Branded,Premium,12100826.16,3002420.16,33.9338321981741,45,45
AI-0242,Generic,High,12095309.069999991,2817208.670000002,30.61163448291885,418,418
R-5099,Branded,High,12076185.0,546281.0,35.65469936761809,143,143
R-1165,Branded,High,12062875.33,1443751.5899999999,35.8645703287591,308,308
AI-0970,Generic,Mid,12027718.0,199575.5,32.63631147540997,244,244
R-0865,Branded,Mid,12000238.349999994,292153.95000000036,31.6375249213062,1581,1479
R-5041,Branded,Premium,11979000.0,2079000.0,21.0,1,1
R-1658,Branded,Mid,11929024.245,261764.165,30.94270737289068,252,251
R-1531,Branded,High,11869638.0,572047.0,35.650442477876105,113,113
AI-0694,Generic,Mid,11660227.344999999,108134.46500000011,44.487478967623524,144,140
R-0027,Branded,High,11567816.0,298688.0,28.72,50,50
AI-1538,Generic,High,11476010.1,362541.82,28.288860978383962,118,118
AI-1144,Generic,High,11430305.475000001,1015023.2000000001,31.308612983805503,54,54
R-5055,Branded,Premium,11407275.0,413325.0,31.3125,8,8
R-1068,Branded,Premium,11369938.22,728086.38,34.372822573616276,16,16
AI-0458,Generic,Mid,11310301.465,98227.53000000006,35.230909757352265,312,310
R-2786,Branded,Mid,11288238.0,85172.0,36.96508862385644,211,211
AI-1475,Generic,High,11205265.189999994,2772282.190000002,32.930921352518006,469,469
AI-1178,Generic,Mid,11108641.575,301451.35500000056,30.046930598892548,891,888
R-0073,Branded,Mid,11105351.215000082,2620387.9149999805,33.09460263872471,2957,2913
AI-0137,Generic,Premium,11088679.075000003,2289548.075,26.44114440762875,67,67
AI-0782,Generic,Mid,11070227.125,64657.899999999994,36.17964087357422,95,95
R-5130,Branded,Premium,10967440.0,356895.0,21.0,3,3
AI-0503,Generic,High,10937279.3,2857282.425,35.83584181410904,193,193
AI-1345,Generic,Mid,10793412.33,68925.38999999997,34.24487756526472,333,332
AI-0241,Generic,Low,10694098.467499996,385449.9599999958,31.76743650592694,6526,6400
AI-0910,Generic,High,10681046.830000002,826849.8799999999,33.24078415859418,144,144
R-2216,Branded,High,10644885.48,1128356.065,36.30872392136937,254,254
R-1296,Branded,High,10588038.925,2714097.1750000003,34.834731058415265,130,130
AI-1372,Generic,High,10582316.50000003,2587417.3999999925,32.71591501481625,828,828
R-0216,Branded,Premium,10545147.0,2747974.0,35.850397857291405,80,80
R-4927,Branded,Mid,10494838.7,94457.11000000002,25.2883685622229,648,648
AI-0106,Generic,Low,10463944.18500001,273190.8949999971,34.87417997993651,7404,7383
AI-1137,Generic,High,10355690.66,823784.4650000001,33.21685296354966,265,265
AI-0566,Generic,Mid,10340572.025,158292.88,38.477696296449,653,653
AI-0449,Generic,Mid,10286741.175,154435.205,35.35000801203826,961,957
R-1480,Branded,Low,10058994.211839996,256656.34939999864,35.69757177491307,2991,2974
R-0094,Branded,Mid,10012268.375,260082.90000000005,34.80460878783849,273,273
R-1110,Branded,Premium,9969960.0,2481960.0,33.145833333333336,24,24
AI-0534,Generic,High,9910491.26,763677.21,33.32896237878064,64,64
AI-0339,Generic,Mid,9739541.265000023,834664.1150000007,34.3814550439451,1723,1722
R-1267,Branded,Mid,9727397.310000002,268329.8899999999,34.00953465392658,308,308
AI-0221,Generic,High,9697179.665,1698409.1899999997,37.87207750039856,313,313
R-2280,Branded,High,9673166.0,2522361.0,35.27218067065816,158,158
R-4547,Branded,High,9591582.0,2445282.0,36.72014925373134,134,134
AI-0718,Generic,Mid,9558647.875,624925.75,35.84884558502155,619,619
AI-0513,Generic,Mid,9539694.284999996,359006.1700000004,33.47910819472541,1407,1407
R-2192,Branded,Premium,9457250.0,2579250.0,37.5,2,2
AI-0538,Generic,Mid,9442769.5,366188.64999999997,36.33688263230747,415,415
R-2164,Branded,Premium,9440200.0,665700.0,33.964285714285715,14,14
AI-1150,Generic,Mid,9405020.0,135658.375,34.412135417705834,143,143
R-1082,Branded,Mid,9387596.0,316369.0,29.940173160173146,210,209
AI-1603,Generic,Mid,9332362.0,41531.0,37.40719547762695,146,146
AI-1168,Generic,Low,9312192.415,182650.51999999862,32.03981746390905,4653,4621
AI-0536,Generic,Mid,9302557.75,186908.2199999999,32.5779218280559,250,250
AI-1455,Generic,Mid,9286866.175,131127.225,35.32310231686767,51,51
R-1741,Branded,Mid,9221628.28,202317.76,37.28713550094562,1066,1066
R-0406,Branded,High,9164773.759999998,2203183.7600000007,31.792222332299808,263,263
AI-1359,Generic,Low,9159147.520000003,259129.1499999991,34.73551936368884,3503,3501
R-0894,Branded,High,9142210.0,2446210.0,36.55172413793103,87,87
R-5053,Branded,Premium,9071370.0,1621620.0,29.25,4,4
R-4910,Branded,Mid,9049329.684999976,1462557.3850000058,23.072012835056928,1783,1779
AI-1263,Generic,High,9026206.725,614517.875,33.030006312876935,195,195
AI-0057,Generic,High,9025285.5,1204073.125,32.280873443230426,64,64
R-1442,Branded,Mid,9007901.719999999,236214.89999999997,35.12599795732357,622,622
R-0695,Branded,High,8946657.805,2093229.3,35.45008912655972,561,561
AI-0202,Generic,Mid,8890075.98,123726.28500000013,31.644417656071454,226,226
AI-1243,Generic,Mid,8877098.55,109415.38500000018,33.8350310316997,531,527
AI-1347,Generic,Mid,8868087.45,202795.15000000037,34.11560433945928,385,383
R-1504,Branded,High,8861850.0,67268.0,30.15155561190404,15,15
AI-0393,Generic,High,8764688.125,970538.75,34.29682121258225,50,50
AI-1188,Generic,High,8722594.4,1138238.7,33.7060911994186,47,47
R-2391,Branded,High,8669100.0,137550.0,36.19736842105263,38,38
R-0377,Branded,High,8662375.02,2076148.02,32.1541832811419,303,303
R-5258,Branded,High,8654983.0,105628.0,36.22806656514523,26,26
R-2262,Branded,Premium,8552734.75,2281684.75,36.40017381316136,40,40
AI-1408,Generic,High,8502912.0,877014.0,37.10626523151909,40,40
R-1919,Branded,Mid,8497892.7312,13365.581840000003,28.413226700680273,8,8
R-5179,Branded,Premium,8470000.0,1470000.0,21.0,1,1
AI-1542,Generic,Mid,8452419.0,86721.0,12.068382808902639,141,141
R-2434,Branded,High,8378975.0,1790515.0,36.67223784619432,563,563
AI-0564,Generic,Low,8291053.494999999,139875.95,41.82460087917768,1287,1284
AI-1180,Generic,Mid,8288926.345,150781.96,36.28744762038564,624,624
AI-0043,Generic,Low,8252914.464999999,124239.60999999923,35.34054836880318,4021,3995
R-3315,Branded,Mid,8212708.5,292355.0,35.07493857493851,148,147
R-5077,Branded,Premium,8122124.0,2215124.0,37.49998243302591,3,3
AI-1341,Generic,High,8083607.55,1210905.3,37.0000229167526,45,45
R-3582,Branded,Premium,8003122.5,2108372.5,35.76695364519278,73,73
R-5178,Branded,Premium,7986000.0,693000.0,21.0,1,1
R-5254,Branded,Premium,7963890.0,625635.0,37.5,2,2
AI-1246,Generic,Low,7951009.615,144286.82999999903,34.71646425405246,2206,2184
AI-0653,Generic,Mid,7915885.075,84427.34999999998,34.37307272292182,111,111
AI-1185,Generic,Mid,7877280.0,42372.0,35.7333697369191,47,47
R-2354,Branded,Mid,7766760.0,72680.0,37.203112203112205,74,74
R-1538,Branded,High,7741568.100000001,1947880.0999999999,33.972809935073265,131,131
